word,count,total_words,probability,neg_log_prob
vida,14626438,25305276813,0.0005779995258730387,7.455937509581093
ciudad,9878324,25305276813,0.00039036617038408527,7.848425360909277
mujer,6013834,25305276813,0.00023765138174305732,8.344705740727775
juan,4684871,25305276813,0.00018513415342657924,8.59442984202564
página,4458924,25305276813,0.00017620530425137775,8.643860741331997
verdad,4449762,25305276813,0.0001758432453785306,8.645917611049967
música,3762305,25305276813,0.00014867669805797987,8.813736421162382
carlos,3247378,25305276813,0.00012832809630960982,8.960920321154335
maría,3110379,25305276813,0.00012291424523766184,9.004023638933793
luis,3099459,25305276813,0.00012248271468849234,9.007540642519416
marco,2966786,25305276813,0.00011723981610333077,9.051289010671681
planta,2582654,25305276813,0.00010205989916985304,9.189950670278643
decisión,2516440,25305276813,9.944329076484306e-05,9.215923018340321
mesa,2217160,25305276813,8.761650846123072e-05,9.342541125023143
manuel,2083907,25305276813,8.23506897553257e-05,9.40452372547618
francisco,2041327,25305276813,8.066803675316112e-05,9.425168136076614
miguel,2016138,25305276813,7.967263171625357e-05,9.437584422404456
fiesta,1956628,25305276813,7.732094829307805e-05,9.467545639174288
chica,1935432,25305276813,7.648333643225419e-05,9.478437665273946
pedro,1903846,25305276813,7.523513827052637e-05,9.494892171906695
enfermedad,1802179,25305276813,7.121751772634917e-05,9.549771734325677
pablo,1794023,25305276813,7.0895213407757e-05,9.55430763858453
caja,1678037,25305276813,6.631174250336386e-05,9.621143564790263
piedra,1620226,25305276813,6.402719922698677e-05,9.656202576964722
jorge,1546449,25305276813,6.111172035097232e-05,9.702806887744124
operación,1496872,25305276813,5.9152563754252894e-05,9.735390625212004
cruz,1449438,25305276813,5.727809305193551e-05,9.767592327557134
recibió,1345775,25305276813,5.3181595678441236e-05,9.841798167363722
tarea,1333345,25305276813,5.269039378043969e-05,9.851077400238273
resistencia,1278967,25305276813,5.054151390839401e-05,9.89271550179528
conocida,1266437,25305276813,5.0046360265436707e-05,9.902560776816712
anunció,1202976,25305276813,4.753854339905892e-05,9.953969735982927
actuación,1176965,25305276813,4.651065501861499e-05,9.975829131434297
fotografía,1117292,25305276813,4.415253025116157e-05,10.027860322224393
niña,1053719,25305276813,4.164028743043334e-05,10.08644241149317
martín,997561,25305276813,3.942106649817504e-05,10.141210201857447
señora,983284,25305276813,3.8856875870840525e-05,10.155625511718211
daniel,973550,25305276813,3.84722130168464e-05,10.16557431707228
estrella,966050,25305276813,3.8175832145164055e-05,10.173307908926517
tabla,927233,25305276813,3.6641883305684906e-05,10.214318619214966
cantante,911387,25305276813,3.601568979999444e-05,10.231555886675881
alejandro,861717,25305276813,3.405285808046616e-05,10.28759659113902
estudiante,843474,25305276813,3.3331941248186024e-05,10.308994424070791
amiga,812576,25305276813,3.211093109175387e-05,10.346314053342928
actriz,788914,25305276813,3.117586920032085e-05,10.375866185461403
encontró,778374,25305276813,3.075935528198326e-05,10.389316373169917
víctima,752204,25305276813,2.9725183627059658e-05,10.423515937877168
amenaza,737773,25305276813,2.9154907312493267e-05,10.442887312424233
felipe,733168,25305276813,2.8972929457280306e-05,10.449148630919764
novia,710785,25305276813,2.8088410383831514e-05,10.48015350855864
carmen,704265,25305276813,2.783075661271566e-05,10.489368795849728
dificultad,647945,25305276813,2.560513385362903e-05,10.572717685427063
discusión,627028,25305276813,2.4778547361231744e-05,10.6055323049008
camiseta,617754,25305276813,2.4412062534034133e-05,10.620433181674864
sombra,612121,25305276813,2.4189460740675913e-05,10.629593526245808
médica,601614,25305276813,2.3774250898173724e-05,10.646907457992457
silla,563959,25305276813,2.228622133508056e-05,10.711541947813725
alfonso,562741,25305276813,2.223808908151935e-05,10.713704014867005
vieja,562217,25305276813,2.221738193795114e-05,10.714635605269306
hugo,545576,25305276813,2.1559772059862353e-05,10.744681384341964
isabel,544595,25305276813,2.15210054418463e-05,10.74648110248671
secretaria,541944,25305276813,2.141624468306898e-05,10.75136082656546
bomba,511887,25305276813,2.022846870171481e-05,10.80841960407792
profesora,474842,25305276813,1.8764544782851807e-05,10.883541384512371
guitarra,454411,25305276813,1.795716377093954e-05,10.927521426773493
pelota,402117,25305276813,1.5890638263771993e-05,11.049780410584084
conoció,372061,25305276813,1.470290179986738e-05,11.127465682309143
marta,362784,25305276813,1.4336298420321098e-05,11.152715885798722
carpeta,361816,25305276813,1.4298045529149296e-05,11.155387706322733
maestra,355725,25305276813,1.4057344743893674e-05,11.172365541202156
lucas,354763,25305276813,1.4019328957419217e-05,11.175073540740172
barrera,347105,25305276813,1.3716704328706764e-05,11.196896173799336
tomás,342553,25305276813,1.3536820898320359e-05,11.210097111377783
descubrió,318533,25305276813,1.2587611759945698e-05,11.282797421313868
criminal,307430,25305276813,1.2148849517507153e-05,11.318276082578196
mencionó,305440,25305276813,1.2070209792887438e-05,11.324770141656472
compañera,299677,25305276813,1.1842470731086722e-05,11.343818273666296
miró,297368,25305276813,1.1751224940058118e-05,11.35155307259007
bodega,296312,25305276813,1.1709494513325243e-05,11.355110548380717
tormenta,290494,25305276813,1.1479581991798858e-05,11.374940579599993
futbolista,282020,25305276813,1.1144711124247365e-05,11.404545511224827
alarma,261950,25305276813,1.0351595911625407e-05,11.478369855779682
lucía,256390,25305276813,1.0131878892084893e-05,11.499823778908038
escalera,249183,25305276813,9.847076633122939e-06,11.528335935346142
claudia,246057,25305276813,9.723545085805736e-06,11.540960285224468
alba,232473,25305276813,9.18674005101467e-06,11.597749412382257
venció,228091,25305276813,9.013574587053066e-06,11.616778829500772
camioneta,224647,25305276813,8.877476490776533e-06,11.631993220313296
paula,218315,25305276813,8.627252000177518e-06,11.66058452765805
simón,217901,25305276813,8.610891776060652e-06,11.662482670432738
vecina,216140,25305276813,8.541301547389636e-06,11.670597155758891
mateo,214384,25305276813,8.471908905966411e-06,11.678754702087659
observó,201141,25305276813,7.948579321474502e-06,11.742517346968405
sospecha,200770,25305276813,7.933918347688615e-06,11.744363527368424
sofía,199439,25305276813,7.881320622327388e-06,11.75101507647049
samuel,197530,25305276813,7.805881811121843e-06,11.760633030094
buscó,195545,25305276813,7.727439673749915e-06,11.770732969667485
muñeca,194979,25305276813,7.705072797300287e-06,11.773631641177088
ciclista,191684,25305276813,7.574862801007843e-06,11.79067531881104
anna,182277,25305276813,7.203122153019066e-06,11.840995993569848
escuchó,176426,25305276813,6.971905555657278e-06,11.873621976632146
adrián,175899,25305276813,6.951079859740398e-06,11.876613534954881
coral,173561,25305276813,6.858688062674622e-06,11.889994379024115
gabriela,168467,25305276813,6.6573861746279725e-06,11.919783616719096
aspirante,160104,25305276813,6.326901743977377e-06,11.970699897558587
turista,154583,25305276813,6.1087259049696134e-06,12.005792332716933
jovencita,153459,25305276813,6.064308291666819e-06,12.013090071261676
rebelde,142849,25305276813,5.645028151860194e-06,12.084735373331648
emma,136707,25305276813,5.402311976677131e-06,12.128683552192363
invitada,127761,25305276813,5.048788872934428e-06,12.19636217058183
motocicleta,126616,25305276813,5.003541393190924e-06,12.205364617602928
irene,115235,25305276813,4.553793299775353e-06,12.299549980071456
bruja,114932,25305276813,4.541819512559386e-06,12.302182852507848
valla,112413,25305276813,4.4422750571236756e-06,12.324343912499243
carla,101579,25305276813,4.014143008616137e-06,12.42568668076684
golpeó,101270,25305276813,4.0019321167028245e-06,12.428733284289716
epidemia,101117,25305276813,3.995885946920505e-06,12.430245239396978
ismael,99601,25305276813,3.935977493391113e-06,12.445351296933117
enferma,94660,25305276813,3.740721775126784e-06,12.496231977155809
identificó,88504,25305276813,3.497452355649914e-06,12.5634757529013
descartó,88331,25305276813,3.4906158368764414e-06,12.565432379759022
oponente,87859,25305276813,3.4719636006852323e-06,12.570790244894733
detectó,80365,25305276813,3.175819833700232e-06,12.659944743612806
conductora,77586,25305276813,3.0660008413795334e-06,12.69513650309214
anciana,77341,25305276813,3.05631906623791e-06,12.698299285618516
furgoneta,77226,25305276813,3.051774559538781e-06,12.699787313738614
helena,73646,25305276813,2.9103020901224078e-06,12.747253671130238
valeria,73199,25305276813,2.89263779017014e-06,12.753341741962146
vió,72397,25305276813,2.860944795624908e-06,12.764358639564842
oyó,72126,25305276813,2.8502355667947857e-06,12.768108912083738
eliminó,71086,25305276813,2.8091374192548335e-06,12.782633089979727
esperó,66733,25305276813,2.6371179613304e-06,12.84582391843837
jugadora,61104,25305276813,2.41467423777041e-06,12.93394617115075
empresaria,58845,25305276813,2.325404319219687e-06,12.971616633304285
valentina,54976,25305276813,2.172511306881154e-06,13.03962677527212
comprendió,54692,25305276813,2.161288351206783e-06,13.044806055187076
escenografía,54125,25305276813,2.1388819573075975e-06,13.055227315311257
empujó,49772,25305276813,1.9668624993831636e-06,13.139070924720526
colgó,45519,25305276813,1.7987947864144947e-06,13.228393680422696
martina,44453,25305276813,1.756669185186044e-06,13.252091050387895
imaginó,41780,25305276813,1.6510390425184559e-06,13.31410574550549
abrazó,40691,25305276813,1.608004539950179e-06,13.340516563859383
investigó,34650,25305276813,1.3692796271724388e-06,13.501225775997998
amó,33532,25305276813,1.3250991185669903e-06,13.534023294858299
vendedora,33155,25305276813,1.3102010400837577e-06,13.54532996681308
contrincante,32330,25305276813,1.2775991441986997e-06,13.570527909896569
besó,31834,25305276813,1.2579984892181072e-06,13.585988600626248
quemó,30196,25305276813,1.193268906842683e-06,13.638814036356532
arrastró,29855,25305276813,1.1797934565435255e-06,13.650171171634955
percibió,29367,25305276813,1.1605089411593943e-06,13.666651906686507
localizó,28979,25305276813,1.1451761707310276e-06,13.679952071892984
guió,26026,25305276813,1.0284811421872984e-06,13.787427463279345
unai,25360,25305276813,1.0021625207819062e-06,13.813350372064885
derribó,23791,25305276813,9.401596424259594e-07,13.877216143734204
secuestró,21919,25305276813,8.661829768540458e-07,13.959169661032696
rehén,20969,25305276813,8.28641399774282e-07,14.003478345029302
carreta,20456,25305276813,8.083689481512094e-07,14.028247263645024
destrozó,19536,25305276813,7.72012894558175e-07,14.074264584265562
atropelló,17464,25305276813,6.901327390747322e-07,14.186381882386268
transportó,14698,25305276813,5.80827473598283e-07,14.35881207152723
asaltó,14194,25305276813,5.609106790212293e-07,14.393704161531119
arrolló,11630,25305276813,4.5958793835542465e-07,14.592935535103337
pateó,9825,25305276813,3.8825894190387334e-07,14.761593343878586
remolcó,9037,25305276813,3.571191916524482e-07,14.845196240714092
abatió,6605,25305276813,2.6101275432825276e-07,15.158696563659621
admiró,6391,25305276813,2.525560201229165e-07,15.191632750965766
infiltrada,5951,25305276813,2.3516834231755218e-07,15.262964228971196
agresora,4032,25305276813,1.5933435661642924e-07,15.652260970864843
neutralizó,3477,25305276813,1.3740217211193563e-07,15.800353648608187
maltrató,3384,25305276813,1.3372704930307454e-07,15.827465059889933
intrusa,3113,25305276813,1.2301782047295245e-07,15.910936610174438
adversaria,3083,25305276813,1.2183229698622306e-07,15.920620352729896
odió,2950,25305276813,1.1657647619505611e-07,15.964718331282182
vigiló,2085,25305276813,8.23938823276922e-08,16.311754646383147
granjera,1951,25305276813,7.709854408696762e-08,16.378181439992936
mochilera,1570,25305276813,6.204239580550444e-08,16.595447882273692
asedió,1506,25305276813,5.951327903381509e-08,16.637066372256207
zarandeó,1436,25305276813,5.674705756477986e-08,16.68466203100788
apaleó,844,25305276813,3.3352727426653344e-08,17.216126286020092
