id_verb,type,live_row,sentence,subject_nr,catalan,latin,animate,indefinite,affected,DOM,object,pp1,pp2,correctedness_perc,aff_diff,offline_diff,id_obj,correct,object_log,pp1_log,pp2_log,origin,post_target,post_target_log
7,0,0,Tomás empujó a la vieja a la puerta en pocos segundos.,10,0,1,1,0,1,1,0.673572301864624,NA,2.878772497177124,91.48936170212764,0.9499999999999996,0.16888888888888887,0,1,-0.39515993645909603,NA,1.057363987033945,1,0.8524808883666992,-0.15960448841394262
11,1,6,Valeria neutralizó a una criminal en la frontera en cinco minutos.,10,0,1,1,1,1,1,0.5579123497009277,1.5192108154296875,1.568511962890625,91.48936170212764,0.9499999999999996,-0.09499999999999996,1,1,-0.5835534083281038,0.418190999651793,0.4501273755819748,1,0.3879573345184326,-0.9468599079865507
32,0,7,Martín buscó a la médica en el hospital durante dos horas.,10,0,1,1,0,0,1,0.41455984115600586,1.1994528770446777,1.5559570789337158,91.48936170212764,-0.9500000000000002,0.16888888888888887,0,1,-0.880537945331268,0.18186551702752393,0.44209084114291747,1,0.3566467761993408,-1.0310094094147686
48,3,8,Samuel descubrió la infiltrada en el museo en pocas horas.,10,0,1,1,0,0,0,1.0391016006469727,2.032992362976074,1.5477771759033203,91.48936170212764,-0.9500000000000002,-0.345,0,0,0.038356494291958,0.7095087781099232,0.4368198215918072,1,0.711496114730835,-0.3403853221405971
31,3,9,Miguel recibió la invitada en la casa en un día.,10,0,1,1,0,0,0,0.5333385467529297,1.8506665229797363,1.308959722518921,91.48936170212764,-0.9500000000000002,-0.345,0,0,-0.6285988843084076,0.6155458568957582,0.26923271679731675,1,0.6031227111816406,-0.5056346018280823
37,3,10,Isabel vió la estudiante desde su ventana durante una mañana.,10,0,1,1,0,0,0,0.6584692001342773,1.8422625064849854,1.4874930381774902,91.48936170212764,-0.9500000000000002,-0.345,0,0,-0.4178375316576359,0.6109944393432368,0.39709217820988224,1,0.5480196475982666,-0.6014441393953267
12,4,12,Paula abatió una contrincante en el ring en pocos minutos.,10,0,1,1,1,1,0,1.2970373630523682,1.0790557861328125,1.3935000896453857,91.48936170212764,0.9499999999999996,0.28,1,0,0.2600827122072555,0.07608638663813226,0.33181863227096225,1,0.28479790687561035,-1.255975448924939
2,2,13,Simón pateó a la pelota en la cancha en un instante.,10,0,1,0,0,1,1,0.38260650634765625,1.1191253662109375,6.0204784870147705,91.48936170212764,0.9499999999999996,0.15500000000000003,2,0,-0.9607482165072583,0.11254745720182902,1.7951667390549508,1,0.39252710342407227,-0.9351496908340057
38,1,15,Unai amó a una jovencita en su pueblo durante varios años.,10,0,1,1,1,0,1,0.819727897644043,1.8692317008972168,1.2074859142303467,91.48936170212764,-0.9500000000000002,-0.09499999999999996,1,1,-0.19878282593371696,0.6255274913072212,0.188540441242884,1,0.671471118927002,-0.3982842737323225
35,1,19,Carlos vigiló a una niña en la habitación durante unas horas.,10,0,1,1,1,0,1,0.3839735984802246,1.2125444412231445,2.418588638305664,91.48936170212764,-0.9500000000000002,-0.09499999999999996,1,1,-0.9571814827158203,0.19272099571298346,0.8831841627253506,1,0.4425036907196045,-0.8153064739596598
41,0,21,Emma investigó a la empresaria en la ciudad durante varias semanas.,10,0,1,1,0,0,1,0.22824931144714355,1.0350608825683594,1.250248908996582,91.48936170212764,-0.9500000000000002,0.16888888888888887,0,1,-1.4773167761725357,0.03446024872482948,0.22334265868828654,1,0.4607429504394531,-0.7749149827349222
29,2,22,Alfonso miró a la estrella en la colina durante dos horas.,10,0,1,0,0,0,1,0.5615205764770508,1.332470417022705,2.098846435546875,91.48936170212764,-0.9500000000000002,0.15500000000000003,2,0,-0.5771068599237784,0.2870346757027502,0.7413878773935957,1,0.6141073703765869,-0.48758549580285265
49,2,25,Alba mencionó a la ciudad en el teatro tras varios minutos.,10,0,1,0,0,0,1,0.388500452041626,3.991647481918335,2.888338565826416,91.48936170212764,-0.9500000000000002,0.15500000000000003,2,0,-0.945460945618803,1.38420404841732,1.060681446093808,1,2.659062385559082,0.9779735740236685
0,5,28,Juan golpeó la piedra en la calle en diez segundos.,10,0,1,0,0,1,0,0.6064975261688232,1.1697874069213867,2.3255767822265625,91.48936170212764,0.9499999999999996,-0.1644444444444444,2,1,-0.5000546294706159,0.15682202881359208,0.8439680866499834,1,0.38889384269714355,-0.9444488705579003
